title,price,rating,reviews,availability
DualSense® Wireless-Controller - Volcanic Red [PlayStation 5],,4.7 out of 5 stars,"1,124 ratings",In stock
Play Station Sony Dualsense Wireless Controller PS5 - Grey Camo,,4.6 out of 5 stars,601 ratings,Only 1 left in stock.
Play Station Sony Dualsense Wireless Controller PS5 - Galactic Purple,,4.6 out of 5 stars,"9,779 ratings",In stock
PlayStation Sony Interactive Entertainment DualSense Edge® Wireless-Controller - Midnight Black,,4.2 out of 5 stars,66 ratings,In stock
Play Station Sony Dualsense Wireless Controller PS5 - Blue,,4.6 out of 5 stars,"7,086 ratings",In stock
FOIRCEADAL Controller for PS-5 Gamepad Remote Control with Dual Motor Vibration/6-Axis Sensor/Turbo/3.5mm Audio Jack/Touch Pad for Ps-3/Ps-4/Ps-5/Pro/Slim/S-witch/Pc Black,,4.4 out of 5 stars,19 ratings,In stock
TURPOW Wireless Controller for PS-5 RGB Gamepad Remote Control with Dual Motor Vibration/6-Axis Sensor/Turbo/3.5mm Audio Jack/Touch Pad for Ps-5/Ps-4/Pro/Slim/ (Black-F),,4.3 out of 5 stars,15 ratings,Only 6 left in stock.
Sony Dualsense Wireless Controller Gray Camouflage- Playstation 5,,4.7 out of 5 stars,"1,194 ratings",In stock
"Victrix ProCon BFG Wireless Controller for PS5, PS4, PC",,3.6 out of 5 stars,"2,700 ratings",In stock
"Razer Wolverine V2 Pro - Wireless Pro Gaming Controller for PS5 Consoles and PC (HyperSpeed Wireless, Mecha-Tactile Action Buttons, 8-Way Microswitch D-Pad, HyperTrigger) Black",,4.2 out of 5 stars,"3,706 ratings",
GGiking Wireless Controller for P5 RGB Gamepad Remote Control with Dual Motor Vibration/6-Axis Sensor/Turbo/3.5mm Audio Jack/Touch Pad for Ps-3/Ps-4/Pro/Slim/S-witch/PC,,5.0 out of 5 stars,3 ratings,In stock
Xbox Wireless Controller – Shock Blue,,4.6 out of 5 stars,"72,295 ratings",In stock
TURPOW Wireless Controller for PS-5 RGB Gamepad Remote Control with Dual Motor Vibration/6-Axis Sensor/Turbo/3.5mm Audio Jack/Touch Pad for Ps-5/Ps-4/Pro/Slim/ (A),,4.6 out of 5 stars,3 ratings,In stock
"PDP Victrix Pro BFG Wireless Gaming Controller for Playstation 5 / PS5, PS4, PC, Modular Gamepad, Remappable Buttons, Customizable Triggers/Paddles/D-Pad, PC App White",,4.1 out of 5 stars,229 ratings,In stock
"eXtremeRate 7 Colors 9 Modes Luminated Dpad Thumbsticks Share Home Face Buttons for PS5 Controller BDM-030 040 050, Black Classical Symbols Buttons DTF V3 LED Kit - NOT A CONTROLLER",,4.0 out of 5 stars,107 ratings,In stock
PlayStation 5 Standard (Slim),,4.6 out of 5 stars,"1,782 ratings",In stock
